Basis;System;Distance;Alpha;P;Value
aug-cc-pVQZ;H;0.1;1.0;1;0.000000021400
aug-cc-pVQZ;H;0.1;0.9;1;0.000000179127
aug-cc-pVQZ;H;0.1;0.8;1;0.000000510418
aug-cc-pVQZ;H;0.1;0.7;1;0.000000877195
aug-cc-pVQZ;H;0.1;0.6;1;0.000001188776
aug-cc-pVQZ;H;0.1;0.5;1;0.000001398078
aug-cc-pVQZ;H;0.1;0.4;1;0.000001492355
aug-cc-pVQZ;H;0.1;0.3;1;0.000001482023
aug-cc-pVQZ;H;0.1;0.2;1;0.000001390150
aug-cc-pVQZ;H;0.1;0.1;1;0.000001244088
aug-cc-pVQZ;H;0.1;0.0;1;0.000001069745
aug-cc-pVQZ;H;0.1;0.0;0;0.000000000806
aug-cc-pVQZ;H;0.1;-0.1;0;0.000000192381
aug-cc-pVQZ;H;0.1;-0.2;0;0.000000949018
aug-cc-pVQZ;H;0.1;-0.3;0;0.000002494871
aug-cc-pVQZ;H;0.1;-0.4;0;0.000004930777
aug-cc-pVQZ;H;0.1;-0.5;0;0.000008189885
aug-cc-pVQZ;H;0.1;-0.6;0;0.000012037593
aug-cc-pVQZ;H;0.1;-0.7;0;0.000016113634
aug-cc-pVQZ;H;0.1;-0.8;0;0.000020001760
aug-cc-pVQZ;H;0.1;-0.9;0;0.000023306703
aug-cc-pVQZ;H;0.1;-1.0;0;0.000025719363
aug-cc-pVQZ;H;0.1;-1.1;0;0.000027057541
aug-cc-pVQZ;H;0.1;-1.2;0;0.000027277884
aug-cc-pVQZ;H;0.1;-1.3;0;0.000026462177
aug-cc-pVQZ;H;0.1;-1.4;0;0.000024785954
aug-cc-pVQZ;H;0.1;-1.5;0;0.000022479118
aug-cc-pVQZ;H;0.2;1.0;1;0.000000017655
aug-cc-pVQZ;H;0.2;0.9;1;0.000000153061
aug-cc-pVQZ;H;0.2;0.8;1;0.000000457847
aug-cc-pVQZ;H;0.2;0.7;1;0.000000799921
aug-cc-pVQZ;H;0.2;0.6;1;0.000001092419
aug-cc-pVQZ;H;0.2;0.5;1;0.000001290062
aug-cc-pVQZ;H;0.2;0.4;1;0.000001380281
aug-cc-pVQZ;H;0.2;0.3;1;0.000001372550
aug-cc-pVQZ;H;0.2;0.2;1;0.000001288379
aug-cc-pVQZ;H;0.2;0.1;1;0.000001153366
aug-cc-pVQZ;H;0.2;0.0;1;0.000000991774
aug-cc-pVQZ;H;0.2;0.0;0;0.000000000608
aug-cc-pVQZ;H;0.2;-0.1;0;0.000000161709
aug-cc-pVQZ;H;0.2;-0.2;0;0.000000789224
aug-cc-pVQZ;H;0.2;-0.3;0;0.000002057737
aug-cc-pVQZ;H;0.2;-0.4;0;0.000004038260
aug-cc-pVQZ;H;0.2;-0.5;0;0.000006666039
aug-cc-pVQZ;H;0.2;-0.6;0;0.000009744138
aug-cc-pVQZ;H;0.2;-0.7;0;0.000012979763
aug-cc-pVQZ;H;0.2;-0.8;0;0.000016041018
aug-cc-pVQZ;H;0.2;-0.9;0;0.000018617797
aug-cc-pVQZ;H;0.2;-1.0;0;0.000020472083
aug-cc-pVQZ;H;0.2;-1.1;0;0.000021468240
aug-cc-pVQZ;H;0.2;-1.2;0;0.000021580498
aug-cc-pVQZ;H;0.2;-1.3;0;0.000020880565
aug-cc-pVQZ;H;0.2;-1.4;0;0.000019511938
aug-cc-pVQZ;H;0.2;-1.5;0;0.000017658543
aug-cc-pVQZ;H;0.3;1.0;1;0.000000007493
aug-cc-pVQZ;H;0.3;0.9;1;0.000000407072
aug-cc-pVQZ;H;0.3;0.8;1;0.000001328499
aug-cc-pVQZ;H;0.3;0.7;1;0.000002368039
aug-cc-pVQZ;H;0.3;0.6;1;0.000003259368
aug-cc-pVQZ;H;0.3;0.5;1;0.000003863333
aug-cc-pVQZ;H;0.3;0.4;1;0.000004141032
aug-cc-pVQZ;H;0.3;0.3;1;0.000004121125
aug-cc-pVQZ;H;0.3;0.2;1;0.000003869103
aug-cc-pVQZ;H;0.3;0.1;1;0.000003462892
aug-cc-pVQZ;H;0.3;0.0;1;0.000002976264
aug-cc-pVQZ;H;0.3;0.0;0;0.000000000582
aug-cc-pVQZ;H;0.3;-0.1;0;0.000000461558
aug-cc-pVQZ;H;0.3;-0.2;0;0.000002217152
aug-cc-pVQZ;H;0.3;-0.3;0;0.000005688103
aug-cc-pVQZ;H;0.3;-0.4;0;0.000010997470
aug-cc-pVQZ;H;0.3;-0.5;0;0.000017907795
aug-cc-pVQZ;H;0.3;-0.6;0;0.000025852780
aug-cc-pVQZ;H;0.3;-0.7;0;0.000034047585
aug-cc-pVQZ;H;0.3;-0.8;0;0.000041641596
aug-cc-pVQZ;H;0.3;-0.9;0;0.000047871578
aug-cc-pVQZ;H;0.3;-1.0;0;0.000052180260
aug-cc-pVQZ;H;0.3;-1.1;0;0.000054280446
aug-cc-pVQZ;H;0.3;-1.2;0;0.000054161509
aug-cc-pVQZ;H;0.3;-1.3;0;0.000052048607
aug-cc-pVQZ;H;0.3;-1.4;0;0.000048332494
aug-cc-pVQZ;H;0.3;-1.5;0;0.000043489279
aug-cc-pVQZ;H;0.4;1.0;1;0.000000020715
aug-cc-pVQZ;H;0.4;0.9;1;0.000000587550
aug-cc-pVQZ;H;0.4;0.8;1;0.000001787481
aug-cc-pVQZ;H;0.4;0.7;1;0.000003052445
aug-cc-pVQZ;H;0.4;0.6;1;0.000004057398
aug-cc-pVQZ;H;0.4;0.5;1;0.000004665286
