Basis;System;Alpha;P;Value
aug-cc-pVQZ;H;1.0;1;0.4998077704
aug-cc-pVQZ;H;0.9;1;0.5084938363
aug-cc-pVQZ;H;0.8;1;0.5092919392
aug-cc-pVQZ;H;0.7;1;0.5025877799
aug-cc-pVQZ;H;0.6;1;0.4890521196
aug-cc-pVQZ;H;0.5;1;0.4695716825
aug-cc-pVQZ;H;0.4;1;0.4451760462
aug-cc-pVQZ;H;0.3;1;0.4169665674
aug-cc-pVQZ;H;0.2;1;0.3860520849
aug-cc-pVQZ;H;0.1;1;0.3534946774
aug-cc-pVQZ;H;0.0;1;0.3202673149
aug-cc-pVQZ;H;0.0;0;0.4999997597
aug-cc-pVQZ;H;-0.1;0;0.8320110291
aug-cc-pVQZ;H;-0.2;0;1.2948682053
aug-cc-pVQZ;H;-0.3;0;1.8824942104
aug-cc-pVQZ;H;-0.4;0;2.5747245977
aug-cc-pVQZ;H;-0.5;0;3.3397205894
aug-cc-pVQZ;H;-0.6;0;4.1377664006
aug-cc-pVQZ;H;-0.7;0;4.9257178595
aug-cc-pVQZ;H;-0.8;0;5.6614066122
aug-cc-pVQZ;H;-0.9;0;6.3074430592
aug-cc-pVQZ;H;-1.0;0;6.8340523042
aug-cc-pVQZ;H;-1.1;0;7.2207770218
aug-cc-pVQZ;H;-1.2;0;7.4570568809
aug-cc-pVQZ;H;-1.3;0;7.5418267400
aug-cc-pVQZ;H;-1.4;0;7.4823582028
aug-cc-pVQZ;H;-1.5;0;7.2926036128
aug-cc-pVTZ;H;1.0;1;0.4993057013
aug-cc-pVTZ;H;0.9;1;0.5079518244
aug-cc-pVTZ;H;0.8;1;0.5087247479
aug-cc-pVTZ;H;0.7;1;0.5020089502
aug-cc-pVTZ;H;0.6;1;0.4884737866
aug-cc-pVTZ;H;0.5;1;0.4690043816
aug-cc-pVTZ;H;0.4;1;0.4446285724
aug-cc-pVTZ;H;0.3;1;0.4164459199
aug-cc-pVTZ;H;0.2;1;0.3855635003
aug-cc-pVTZ;H;0.1;1;0.3530417407
aug-cc-pVTZ;H;0.0;1;0.3198521272
aug-cc-pVTZ;H;0.0;0;0.4999994720
aug-cc-pVTZ;H;-0.1;0;0.8319459290
aug-cc-pVTZ;H;-0.2;0;1.2947119556
aug-cc-pVTZ;H;-0.3;0;1.8822246684
aug-cc-pVTZ;H;-0.4;0;2.5743205535
aug-cc-pVTZ;H;-0.5;0;3.3391589197
aug-cc-pVTZ;H;-0.6;0;4.1370211476
aug-cc-pVTZ;H;-0.7;0;4.9247616488
aug-cc-pVTZ;H;-0.8;0;5.6602139258
aug-cc-pVTZ;H;-0.9;0;6.3059943744
aug-cc-pVTZ;H;-1.0;0;6.8323380118
aug-cc-pVTZ;H;-1.1;0;7.2188002461
aug-cc-pVTZ;H;-1.2;0;7.4548346901
aug-cc-pVTZ;H;-1.3;0;7.5393896308
aug-cc-pVTZ;H;-1.4;0;7.4797480714
aug-cc-pVTZ;H;-1.5;0;7.2898706379
